Employee No	Date	OT Code	OT Hours	Leave Type	Leave Hours
1101075	02/21/2018			TDY	0.67
1101075	02/22/2018			TDY	0.91
1101075	02/23/2018			TDY	0.48
1101075	02/26/2018			TDY	0.27
1101075	02/27/2018			TDY	0.82
1101075	02/28/2018			TDY	0.19
1101075	03/02/2018			TDY	0.52
1101075	03/05/2018			TDY	0.26
1712298	02/21/2018			UT	8.00
1712298	02/22/2018			UT	8.00
1712298	02/26/2018			UT	7.50
1712298	02/27/2018			UT	8.00
1712298	02/28/2018			UT	7.50
1712298	03/01/2018			UT	8.00
1712298	03/02/2018			UT	8.00
1712298	03/05/2018			UT	7.75
1802309	02/27/2018			TDY	0.30
1101023	03/02/2018			UT	1.00
1210119	02/27/2018	15	3.00		
1408157	02/21/2018	15	1.50		
1408157	02/23/2018	15	1.00		
1408157	02/26/2018	15	3.00		
1408157	02/27/2018	15	3.00		
1408157	02/28/2018	15	1.50		
1408157	03/01/2018	15	2.00		
1408157	03/02/2018	15	4.00		
1408157	03/03/2018	9	8.00		
1408157	03/05/2018	15	3.25		
1612236	02/26/2018			TDY	0.02
1612236	02/27/2018			TDY	0.12
1612236	03/02/2018			TDY	0.06
1202110	02/21/2018	15	3.00		
1202110	02/22/2018	15	3.00		
1202110	02/23/2018	15	3.00		
1202110	02/27/2018	15	3.00		
1202110	02/28/2018	15	3.00		
1202110	03/01/2018	15	3.00		
1202110	03/05/2018	15	1.75		
1101085	02/21/2018			TDY	0.12
1101085	02/24/2018	9	8.00		
1101085	02/24/2018	10	0.75		
1101085	02/28/2018			TDY	0.34
1101085	02/28/2018	15	3.00		
1101085	03/01/2018	15	3.00		
1101085	03/02/2018	15	3.50		
1101085	03/05/2018			TDY	0.41
1101085	03/05/2018	15	3.00		
1101053	02/22/2018			TDY	0.24
1101053	02/28/2018			TDY	0.03
1101053	03/05/2018			TDY	0.13
1710021	02/21/2018			TDY	0.06
1608210	02/22/2018			TDY	0.30
1608210	02/23/2018			TDY	0.37
1608210	02/26/2018			TDY	0.44
1608210	02/27/2018			TDY	0.31
1608210	02/28/2018			TDY	0.54
1101067	02/21/2018	15	1.50		
1101067	02/23/2018			TDY	0.01
1101067	02/23/2018	15	2.50		
1101067	02/24/2018	9	7.50		
1101067	02/26/2018			TDY	0.16
1101067	02/27/2018	15	2.50		
1101067	02/28/2018			TDY	0.40
1101067	02/28/2018	15	2.00		
1101067	03/01/2018			TDY	0.01
1101067	03/02/2018	15	2.50		
1101067	03/03/2018	9	7.00		
1605199	03/05/2018			TDY	1.26
1701003	02/22/2018			TDY	0.02
1701003	02/26/2018			TDY	0.38
1701003	02/26/2018	15	1.50		
1701003	02/27/2018	15	1.50		
1701003	02/28/2018			TDY	0.08
1701003	03/02/2018			TDY	0.10
1701003	03/05/2018			TDY	3.50
1609212	02/21/2018			TDY	0.07
1609212	02/22/2018			TDY	0.01
1609212	02/23/2018			TDY	0.33
1609212	02/28/2018			TDY	0.35
1609212	03/01/2018			TDY	0.45
1609212	03/02/2018			TDY	0.12
1609212	03/05/2018			TDY	0.37
1108004	02/21/2018			TDY	2.61
1108004	02/26/2018			TDY	0.39
1108004	02/27/2018			TDY	1.14
1108004	02/28/2018			TDY	0.27
1108004	02/28/2018			UT	1.00
1108004	03/01/2018			TDY	1.87
1108004	03/02/2018			TDY	0.24
1701241	02/22/2018			TDY	0.89
1701241	02/23/2018			TDY	1.06
1701241	02/26/2018			TDY	1.03
1703248	02/24/2018			TDY	2.85
1703248	02/26/2018			TDY	3.50
1703248	03/01/2018			TDY	0.36
1703248	03/03/2018			TDY	4.62
1101028	02/22/2018			TDY	0.13
1101028	02/26/2018			TDY	0.07
1101028	02/27/2018			TDY	0.01
1101028	03/02/2018			TDY	0.17
1709017	02/21/2018			UT	8.00
1709017	02/26/2018	15	1.50		
1709017	02/28/2018			TDY	8.00
1709017	03/01/2018			TDY	8.00
1709017	03/02/2018			TDY	8.00
1506177	02/21/2018			TDY	0.30
1506177	02/23/2018			TDY	0.42
1506177	02/27/2018			TDY	0.24
1506177	02/28/2018			TDY	0.15
1506177	03/02/2018			TDY	0.38
1506177	03/05/2018			TDY	0.56
1605200	02/21/2018	15	3.00		
1605200	02/22/2018	15	3.00		
1605200	02/24/2018	9	4.00		
1605200	02/27/2018	15	2.75		
1605200	02/28/2018			TDY	0.44
